unidade;ano;mes;leito_dia;leito_operaciol_sem_extra
HMAL;2025,0;10,0;558,0;558,0
HRAD;2025,0;1,0;4534,0;4245,0
HRAD;2025,0;2,0;4072,0;3820,0
HRAD;2025,0;3,0;4492,0;4216,0
HRAD;2025,0;4,0;4338,0;4110,0
HRAD;2025,0;5,0;4458,0;4193,0
HRAD;2025,0;6,0;4370,0;4089,0
HRAD;2025,0;7,0;4533,0;4244,0
HRAD;2025,0;8,0;4564,0;4247,0
HRAD;2025,0;9,0;4406,0;4110,0
HRAD;2025,0;10,0;4581,0;4247,0
HRBJA;2025,0;1,0;2541,0;2511,0
HRBJA;2025,0;2,0;2299,0;2256,0
HRBJA;2025,0;3,0;2625,0;2599,0
HRBJA;2025,0;4,0;2556,0;2550,0
HRBJA;2025,0;5,0;2643,0;2635,0
HRBJA;2025,0;6,0;2557,0;2551,0
HRBJA;2025,0;7,0;2645,0;2637,0
HRBJA;2025,0;8,0;2660,0;2635,0
HRBJA;2025,0;9,0;2603,0;2550,0
HRBJA;2025,0;10,0;2671,0;2635,0
HRJP;2025,0;1,0;4774,0;4758,0
HRJP;2025,0;2,0;4182,0;4122,0
HRJP;2025,0;3,0;4833,0;4716,0
HRJP;2025,0;4,0;4939,0;4883,0
HRJP;2025,0;5,0;5253,0;5154,0
HRJP;2025,0;6,0;5190,0;5056,0
HRJP;2025,0;7,0;5277,0;5160,0
HRJP;2025,0;8,0;4898,0;4797,0
HRJP;2025,0;9,0;5012,0;4927,0
HRJP;2025,0;10,0;4738,0;4660,0
IRS;2025,0;1,0;2701,0;2604,0
IRS;2025,0;2,0;2432,0;2352,0
IRS;2025,0;3,0;2705,0;2604,0
IRS;2025,0;4,0;2628,0;2520,0
IRS;2025,0;5,0;2724,0;2604,0
IRS;2025,0;6,0;2633,0;2520,0
IRS;2025,0;7,0;2719,0;2604,0
IRS;2025,0;8,0;2705,0;2604,0
IRS;2025,0;9,0;2609,0;2520,0
IRS;2025,0;10,0;2702,0;2604,0
MOV;2025,0;1,0;3457,0;2963,0
MOV;2025,0;2,0;3136,0;2718,0
MOV;2025,0;3,0;3458,0;2888,0
MOV;2025,0;4,0;3356,0;2845,0
MOV;2025,0;5,0;3595,0;3062,0
MOV;2025,0;6,0;3642,0;3046,0
MOV;2025,0;7,0;3591,0;3079,0
MOV;2025,0;8,0;3615,0;3052,0
MOV;2025,0;9,0;3471,0;2927,0
MOV;2025,0;10,0;3495,0;3076,0
Total;;;558712,0;515261,0
;;;;
Filtros aplicados: estabelecimento não é (Em branco), CEPAI, MGT ou ADC Ano não é (Em branco);;;;
